anime_id,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme
2547,Princess Sara,A Little Princess Sara,小公女セーラ,"Sekai Meisaku Gekijou, Princess Sara, Little Princess Sarah, Shoukoujo Sara",https://myanimelist.cdn-dena.com/images/anime/8/3209.jpg,TV,Novel,46,Finished Airing,False,"Jan 6, 1985 to Dec 29, 1985","{'from': '1985-01-06', 'to': '1985-12-29'}",25 min. per ep.,G - All Ages,7.81,5407,864,3639,10271,53,,Winter 1985,Sundays at 19:30 (JST),"{'Side story': [{'mal_id': 37423, 'type': 'anime', 'url': 'https://myanimelist.net/anime/37423/Happy_Pasta_Story', 'title': 'Happy Pasta Story'}]}",,,Nippon Animation,"Slice of Life, Historical, Drama, Shoujo","['""Hana no Sasayaki"" (""Flower&#039;s Whisper"") by Satoko Shimonari']","['""Himawari"" (""Sunflower"") by Satoko Shimonari']"
3795,Hana to Hebi The Animation,Flower & Snake The Animation,花と蛇 The Animation,Hana to Hebi,https://myanimelist.cdn-dena.com/images/anime/7/29556.jpg,OVA,Visual novel,3,Finished Airing,False,"Jul 21, 2006 to Sep 22, 2006","{'from': '2006-07-21', 'to': '2006-09-22'}",30 min. per ep.,Rx - Hentai,6,520,,7103,1781,9,,,,[],Pink Pineapple,Kitty Media,,Hentai,[],[]
35372,Otoppe,,オトッペ,,https://myanimelist.cdn-dena.com/images/anime/4/85180.jpg,TV,Original,0,Currently Airing,True,"Apr 3, 2017 to ?","{'from': '2017-04-03', 'to': None}",3 min.,G - All Ages,3.25,4,11679,13644,69,0,,Spring 2017,Mondays at 08:40 (JST),[],NHK,,,"Fantasy, Kids, Music",[],[]
16752,Haedori Daemoheom,,해돌이 대모험,Adventure Of Haedol,https://myanimelist.cdn-dena.com/images/anime/11/45062.jpg,Movie,Unknown,1,Finished Airing,False,1982,"{'from': None, 'to': None}",56 min.,None,4.83,12,10295,13217,89,0,,,,[],,,,"Adventure, Drama, Military",[],[]
31573,Brave Beats,Brave Beats,ブレイブビーツ,,https://myanimelist.cdn-dena.com/images/anime/3/76152.jpg,TV,Original,22,Finished Airing,False,"Oct 11, 2015 to Mar 27, 2016","{'from': '2015-10-11', 'to': '2016-03-27'}",23 min. per ep.,G - All Ages,6.63,834,5049,6037,2898,17,,Fall 2015,Sundays at 07:00 (JST),[],,,Bandai Namco Pictures,"Adventure, Music","['""pop that!!"" by lol']","['""Hanahiraku Toki (花開く時)"" by Shion Miyawaki']"
2831,Ie Naki Ko (Movie),,家なき子,"Nobody&#039;s Boy: Remi, Nobody&#039;s Boy: Rémi",https://myanimelist.cdn-dena.com/images/anime/6/29634.jpg,Movie,Unknown,1,Finished Airing,False,"Mar 15, 1980","{'from': '1980-03-15', 'to': '1980-03-15'}",1 hr. 36 min.,PG - Children,6.7,163,4759,9158,616,0,,,,"{'Full story': [{'mal_id': 2828, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2828/Ie_Naki_Ko', 'title': 'Ie Naki Ko'}]}",Tokyo Movie Shinsha,,,"Slice of Life, Adventure, Drama",[],[]
1755,Di Gi Charat Ohanami Special,,Di Gi Charat お花見すぺしゃる,DiGi Charat Ohanami Special,https://myanimelist.cdn-dena.com/images/anime/12/28183.jpg,Special,Unknown,4,Finished Airing,False,"Apr 6, 2001","{'from': '2001-04-06', 'to': '2001-04-06'}",10 min. per ep.,G - All Ages,6.8,792,4310,7107,1778,1,,,,"{'Prequel': [{'mal_id': 1757, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1757/Di_Gi_Charat_Christmas_Special', 'title': 'Di Gi Charat Christmas Special'}]}",TBS,,,Comedy,[],[]
15505,Shining Hearts: Shiawase no Pan Specials,Shining Hearts: Bread of Happiness Specials,シャイニング・ハーツ 〜幸せのパン〜,,https://myanimelist.cdn-dena.com/images/anime/13/42153.jpg,Special,Unknown,6,Finished Airing,False,"Jul 27, 2012 to Dec 21, 2012","{'from': '2012-07-27', 'to': '2012-12-21'}",3 min. per ep.,PG-13 - Teens 13 or older,6.07,515,7183,7078,1802,1,,,,"{'Other': [{'mal_id': 12367, 'type': 'anime', 'url': 'https://myanimelist.net/anime/12367/Shining_Hearts__Shiawase_no_Pan', 'title': 'Shining Hearts: Shiawase no Pan'}]}","Avex Entertainment, Sega, DAX Production, Volks",Sentai Filmworks,Production I.G,Fantasy,[],[]
8731,Akai Boushi,,赤い帽子,"Red Hat, Minna no Uta",https://myanimelist.cdn-dena.com/images/anime/8/24113.jpg,Music,Original,1,Finished Airing,False,"Oct 5, 1984","{'from': '1984-10-05', 'to': '1984-10-05'}",2 min.,G - All Ages,5.44,209,8466,9681,454,0,,,,[],NHK,,,"Music, Kids",[],[]
10286,Soukou Kijo Iris Special,,装甲騎女イリス,"Soukoukijo Iris: Bonus Video, Armored Knight Iris: Bonus Video",https://myanimelist.cdn-dena.com/images/anime/5/33435.jpg,Special,Visual novel,1,Finished Airing,False,"May 21, 2010","{'from': '2010-05-21', 'to': '2010-05-21'}",3 min.,Rx - Hentai,6.28,545,,7453,1498,1,,,,"{'Parent story': [{'mal_id': 3707, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3707/Soukou_Kijo_Iris', 'title': 'Soukou Kijo Iris'}]}",Pixy,,,"Hentai, Supernatural",[],[]
19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,,ワンピース エピソード・オブ・メリー ～もうひとりの仲間の物語～,"One Piece Special, One Piece: Episode of Merry - The Tale of One More Friend",https://myanimelist.cdn-dena.com/images/anime/9/61015.jpg,Special,Manga,1,Finished Airing,False,"Aug 24, 2013","{'from': '2013-08-24', 'to': '2013-08-24'}",1 hr. 46 min.,PG-13 - Teens 13 or older,8.28,13608,259,2287,26240,27,,,,"{'Full story': [{'mal_id': 21, 'type': 'anime', 'url': 'https://myanimelist.net/anime/21/One_Piece', 'title': 'One Piece'}]}",Fuji TV,,Toei Animation,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",[],"['""Memories"" by moumoon']"
23915,The Adventures of Hello Kitty & Friends,,Hello Kitty 愛漫遊,,https://myanimelist.cdn-dena.com/images/anime/13/62053.jpg,TV,Unknown,52,Finished Airing,False,"Feb 18, 2008 to 2009","{'from': '2008-02-18', 'to': '2018-05-11'}",12 min. per ep.,PG - Children,5.99,50,7383,11083,216,0,,,Unknown,[],Sanrio Digital,,,"Fantasy, Kids",[],[]
